2018-11-21 12:20:06.141 INFO  DefaultFactory Logging to 'D:\MyProg\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
2018-11-21 12:20:06.254 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '25.09.2018'

2018-11-21 12:20:06.263 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2018-11-21 12:21:52.422 INFO  DefaultFactory Logging to 'D:\MyProg\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
2018-11-21 12:21:52.534 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '25.09.2018'

2018-11-21 12:21:52.544 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2018-11-21 12:21:54.246 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'EASTWIND\o.solovichenko' to group 'Пользователи системного монитора' because the user is already in group.
2018-11-21 12:21:54.284 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 12:21:54.294 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 12:21:54.303 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 12:21:54.415 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-11-21 12:21:54.436 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2018-11-21 12:22:07.435 INFO  DefaultFactory Logging to 'D:\MyProg\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
2018-11-21 12:22:07.537 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '25.09.2018'

2018-11-21 12:22:07.549 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2018-11-21 12:22:09.872 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'EASTWIND\o.solovichenko' to group 'Пользователи системного монитора' because the user is already in group.
2018-11-21 12:22:09.911 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 12:22:09.920 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 12:22:09.929 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 12:22:34.061 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-11-21 12:22:34.105 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2018-11-21 12:24:10.535 INFO  DefaultFactory Logging to 'D:\MyProg\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
